startTime,count
2023-06-18 21:39:20,1
2023-06-18 21:39:21,0
2023-06-18 21:39:22,0
2023-06-18 21:39:23,0
2023-06-18 21:39:24,0
2023-06-18 21:39:25,0
2023-06-18 21:39:26,0
2023-06-18 21:39:27,0
2023-06-18 21:39:28,0
2023-06-18 21:39:29,0
2023-06-18 21:39:30,0
2023-06-18 21:39:31,0
2023-06-18 21:39:32,0
2023-06-18 21:39:33,0
2023-06-18 21:39:34,0
2023-06-18 21:39:35,0
2023-06-18 21:39:36,0
2023-06-18 21:39:37,0
2023-06-18 21:39:38,0
2023-06-18 21:39:39,0
2023-06-18 21:39:40,0
2023-06-18 21:39:41,0
2023-06-18 21:39:42,0
2023-06-18 21:39:43,0
2023-06-18 21:39:44,0
2023-06-18 21:39:45,0
2023-06-18 21:39:46,0
2023-06-18 21:39:47,0
2023-06-18 21:39:48,0
2023-06-18 21:39:49,0
2023-06-18 21:39:50,0
2023-06-18 21:39:51,0
2023-06-18 21:39:52,0
2023-06-18 21:39:53,0
2023-06-18 21:39:54,0
2023-06-18 21:39:55,0
2023-06-18 21:39:56,0
2023-06-18 21:39:57,0
2023-06-18 21:39:58,0
2023-06-18 21:39:59,0
2023-06-18 21:40:00,0
2023-06-18 21:40:01,0
2023-06-18 21:40:02,0
2023-06-18 21:40:03,0
2023-06-18 21:40:04,0
2023-06-18 21:40:05,0
2023-06-18 21:40:06,0
2023-06-18 21:40:07,0
2023-06-18 21:40:08,0
2023-06-18 21:40:09,0
2023-06-18 21:40:10,0
2023-06-18 21:40:11,0
2023-06-18 21:40:12,0
2023-06-18 21:40:13,0
2023-06-18 21:40:14,0
2023-06-18 21:40:15,1
